,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
11/29/16,Smoke RMK 105 (Smoke #17),35.9194,-82.2989,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+29+11+16+M,9,14,0,1.5,8,12.1,19.6,6.8,77,94,40,912.0,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,12.00,11.00,10.00,10.00,8.00,2.00,1.00,0.00,9.00,8.00,10.00,12.00,11.00,11.00,14.00,10.00,11.00,10.00,12.00,12.00,11.00,11.00,11.00,11.00
11/29/16,Smoke RMK 112 (Smoke #11),35.2633,-82.7129,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+29+11+16+M,5,59,0,1.7,113,15.5,21.6,11.0,85,97,64,932.7,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,5.00,7.00,3.00,2.00,16.00,59.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,3.00,2.00,2.00
11/29/16,Smoke RMK 117 (Smoke #22),37.4611,-108.5158,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+29+11+16+M,0,0,0,2.4,140,-1.8,3.1,-7.0,78,91,49,771.1,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/29/16,Smoke RMK 118 (Smoke #23),40.8719,-109.5396,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+29+11+16+M,0,0,0,1.8,19,-6.8,-1.4,-8.8,65,78,43,752.7,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/29/16,Smoke RMK 121 (Smoke #68),37.0558,-88.1198,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+29+11+16+M,1,2,0,1.2,164,10.8,17.1,6.3,87,100,59,982.6,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00
11/29/16,Smoke USFS R9-60,34.7365,-83.3957,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids960+29+11+16+M,2,7,0,0.9,-9999,16.1,20.5,12.4,91,100,70,956.4,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s960,7.00,7.00,6.00,5.00,5.00,4.00,5.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
11/29/16,Smoke USFS R9-16,34.8824,-78.7795,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids916+29+11+16+M,3,7,0,6.2,-9999,15.5,21.0,11.7,87,100,70,944.9,13.4,14.3,0.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s916,7.00,6.00,5.00,5.00,4.00,5.00,6.00,1.00,-9999,-9999,-9999,0.00,-9999,0.00,-9999,3.00,7.00,1.00,1.00,2.00,2.00,3.00,3.00,4.00
11/29/16,Smoke USFS R2-69,38.9793,-105.3531,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+29+11+16+M,2,6,0,0.3,1,-7.2,4.1,-16.2,0,-9999,-9999,740.9,14.4,14.4,14.4,1.90,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,0.00,0.00,0.00,0.00,1.00,4.00,4.00,4.00,6.00,5.00,5.00,5.00,4.00,3.00,3.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/29/16,Smoke #1 North Carolina,35.32,-82.4,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmn1+29+11+16+M,-336,16,-8190,-339.6,179,-330.8,17.2,-8189.0,-271,89,-8190,-9999,13.9,14.1,13.8,-325.20,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smn1,20.00,12.00,14.00,15.00,16.00,13.00,-5.00,1.00,-1.00,-8190.00,-4.00,2.00,5.00,0.00,-2.00,5.00,5.00,-2.00,15.00,10.00,0.00,12.00,5.00,5.00
