,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/14/14,Smoke RMK 105 (Smoke #17),39.9191,-105.7845,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+14+03+14+M,0,1,0,0.3,2,-0.3,10.1,-10.8,51,72,23,731.8,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/14/14,Smoke RMK 125 (Smoke #216),46.9269,-114.0961,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+14+03+14+M,1,2,0,0.8,-9999,12.7,13.3,12.1,61,62,60,900.2,14.1,14.2,13.8,1.83,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.00,0.00
03/14/14,Smoke RMK 126 (Smoke #217),46.9269,-114.0962,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+14+03+14+M,1,3,0,0.5,-9999,13.2,13.7,12.7,62,63,60,900.4,14.2,14.3,14.0,1.90,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.00,0.00
03/14/14,Smoke #86,35.773,-81.9086,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm86+14+03+14+M,3,13,0,0.3,181,6.2,21.3,-5.8,44,86,17,971.9,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm86,0.00,0.00,2.00,1.00,0.00,1.00,3.00,0.00,2.00,2.00,0.00,1.00,1.00,5.00,7.00,8.00,9.00,13.00,7.00,3.00,1.00,0.00,0.00,0.00
03/14/14,Smoke USFS R1-53,46.9269,-114.0962,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+14+03+14+M,4,9,0,0.7,-9999,5.9,17.4,0.8,65,85,28,902.8,14.4,14.4,14.2,2.00,15:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,0.00,0.00,1.00,1.00,2.00,3.00,3.00,4.00,4.00,6.00,5.00,5.00,6.00,6.00,7.00,9.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
03/14/14,Smoke USFS R2-69,38.9672,-105.3638,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+14+03+14+M,1,6,0,0.3,1,3.9,18.4,-6.4,0,1,0,754.5,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,5.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
03/14/14,Smoke USFS R2-78,39.9495,-105.8196,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids278+14+03+14+M,12,55,0,0.3,1,-0.4,16.9,-14.8,0,-9999,-9999,737.7,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s278,5.00,5.00,6.00,10.00,16.00,55.00,28.00,16.00,2.00,4.00,33.00,20.00,11.00,21.00,48.00,3.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
