,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
11/21/16,Smoke RMK 105 (Smoke #17),34.6612,-84.4943,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+21+11+16+M,3,6,1,0.9,63,5.0,18.0,-3.6,35,67,8,970.1,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,1.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,3.00
11/21/16,Smoke RMK 109 (Smoke #84),34.865,-84.3264,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+21+11+16+M,4,8,2,0.8,57,4.3,14.8,-2.1,38,64,14,958.5,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,1.00,2.00,6.00,3.00,3.00,2.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,8.00,8.00,7.00,7.00,4.00,2.00,2.00,2.00,2.00
11/21/16,Smoke RMK 110 (Smoke #215),35.1542,-84.705,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+21+11+16+M,3,6,0,0.3,268,7.8,18.9,0.1,58,92,19,996.0,14.3,14.4,14.1,1.08,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,3.00,4.00,4.00,4.00
11/21/16,Smoke RMK 112 (Smoke #11),34.7721,-84.7699,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+21+11+16+M,3,5,1,0.8,304,6.3,15.8,-0.5,35,54,17,994.9,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,3.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,4.00,5.00,5.00,4.00,4.00,3.00,2.00,1.00,1.00,2.00,4.00
11/21/16,Smoke RMK 117 (Smoke #22),37.4611,-108.5158,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+21+11+16+M,1,2,0,2.4,320,7.1,13.9,4.2,80,94,31,782.7,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,0.00,0.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,0.00,0.00,1.00,1.00
11/21/16,Smoke RMK 118 (Smoke #23),40.8719,-109.5396,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+21+11+16+M,0,3,0,1.4,332,3.8,10.0,0.9,56,76,30,759.6,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/21/16,Smoke RMK 121 (Smoke #68),37.0557,-88.1199,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+21+11+16+M,3,5,2,0.8,134,2.7,11.2,-2.5,57,77,39,1005.0,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,1.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00
11/21/16,Smoke USFS R9-60,34.7365,-83.3957,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids960+21+11+16+M,22,38,3,0.4,-9999,13.3,18.0,7.0,31,46,9,964.0,14.3,14.4,14.2,1.90,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s960,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.00,38.00,24.00,15.00
11/21/16,Smoke USFS R9-16,34.8824,-83.3995,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids916+21+11+16+M,1,4,0,0.9,-9999,11.6,14.8,8.3,20,30,13,952.0,14.3,14.3,14.2,1.97,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00
11/21/16,Smoke USFS R2-65,36.7614,-88.1432,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+21+11+16+M,0,0,0,0.8,-9999,12.9,-9999,-9999,74,-9999,-9999,997.2,14.1,14.1,14.1,0.00,18:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999,-9999,-9999,-9999
11/21/16,Smoke USFS R2-69,38.9792,-105.3531,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+21+11+16+M,1,3,0,0.3,1,4.9,14.0,-2.0,0,1,0,752.5,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,0.00,0.00,1.00,1.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/21/16,Smoke #1 North Carolina,35.37,-82.0,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmn1+21+11+16+M,-333,25,-8190,-340.5,331,-339.9,13.6,-8189.0,-302,75,-8190,-9999,14.1,14.2,14.1,-325.20,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smn1,0.00,10.00,-8190.00,5.00,6.00,15.00,7.00,16.00,8.00,5.00,10.00,6.00,10.00,15.00,12.00,-5.00,-5.00,-2.00,-1.00,9.00,13.00,25.00,10.00,19.00
11/21/16,Smoke USFS R8-35,35.3348,-83.8235,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids835+21+11+16+M,10,21,1,0.9,146,3.0,10.3,-3.3,1,-9999,-9999,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s835,1.00,2.00,1.00,1.00,1.00,1.00,2.00,15.00,20.00,18.00,10.00,9.00,14.00,14.00,16.00,20.00,10.00,1.00,3.00,7.00,15.00,21.00,20.00,18.00
11/21/16,Smoke USFS R8-56,35.1968,-83.7998,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids856+21+11+16+M,9,18,0,1.5,-9999,4.7,13.8,-5.0,40,74,11,-9999,14.4,14.4,14.4,2.00,23:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s856,-9999,11.00,6.00,3.00,5.00,-9999,-9999,-9999,-9999,9.00,-9999,-9999,12.00,17.00,-9999,8.00,-9999,0.00,2.00,-9999,7.00,10.00,12.00,18.00
11/21/16,Smoke USFS R2-265,40.7421,-105.5083,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2265+21+11+16+M,0,0,0,1.1,93,6.9,12.9,1.6,60,76,41,768.3,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=2265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
