,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/08/17,Smoke RMK 104 (Smoke #15),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+08+09+17+M,28,45,4,0.3,-9999,20.8,30.5,13.8,1,1,0,827.7,14.1,14.2,13.9,2.00,19:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,11.00,18.00,23.00,26.00,29.00,36.00,38.00,40.00,42.00,45.00,44.00,43.00,42.00,41.00,28.00,13.00,8.00,5.00,4.00,-9999,-9999,-9999,-9999
09/08/17,Smoke RMK 106 (Smoke #66),42.8958,-122.136,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm66+08+09+17+M,10,26,0,2.0,-9999,78.8,80.4,76.5,40,43,37,0.2,14.4,14.4,14.4,0.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm66,26.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.00,4.00
09/08/17,Smoke RMK 107 (Smoke #67),42.5753,-121.8628,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+08+09+17+M,33,57,9,1.5,97,17.2,28.4,9.0,76,100,32,870.7,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,25.00,14.00,9.00,11.00,16.00,27.00,33.00,26.00,31.00,32.00,36.00,40.00,46.00,52.00,49.00,57.00,49.00,46.00,57.00,55.00,47.00,17.00,11.00,10.00
09/08/17,Smoke RMK 112 (Smoke #11),43.2605,-122.4137,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+08+09+17+M,129,224,70,0.6,259,20.9,28.8,17.7,80,92,50,921.8,14.0,14.1,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,110.00,139.00,160.00,155.00,153.00,145.00,138.00,133.00,126.00,121.00,100.00,94.00,90.00,77.00,90.00,75.00,70.00,78.00,174.00,203.00,224.00,177.00,163.00,107.00
09/08/17,Smoke RMK 114 (Smoke #19),44.5043,-114.2211,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+08+09+17+M,75,81,70,1.2,-9999,27.6,31.8,25.2,21,25,15,-9999,14.1,14.1,14.0,2.00,4:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,110.00,75.00,70.00,81.00,73.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/08/17,Smoke RMK 117 (Smoke #22),46.5136,-114.0909,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+08+09+17+M,227,295,190,0.7,149,17.2,30.5,9.0,70,92,31,896.5,14.1,14.3,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,231.00,238.00,245.00,238.00,236.00,236.00,234.00,204.00,191.00,198.00,204.00,212.00,200.00,190.00,199.00,206.00,204.00,215.00,224.00,243.00,260.00,265.00,253.00,263.00
09/08/17,Smoke RMK 118 (Smoke #23),46.717,-113.669,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+08+09+17+M,80,220,40,0.7,174,19.1,35.8,8.9,45,71,10,889.6,14.1,14.3,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,88.00,79.00,73.00,104.00,71.00,69.00,66.00,74.00,82.00,66.00,55.00,48.00,48.00,48.00,47.00,50.00,52.00,45.00,41.00,45.00,40.00,95.00,197.00,220.00
09/08/17,Smoke RMK 119 (Smoke #24),44.2608,-121.1469,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+08+09+17+M,81,115,47,1.4,150,19.5,29.9,12.6,76,93,39,906.5,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,159.00,115.00,81.00,68.00,47.00,51.00,51.00,70.00,79.00,82.00,86.00,87.00,85.00,82.00,78.00,80.00,75.00,76.00,87.00,96.00,109.00,106.00,92.00,77.00
09/08/17,Smoke RMK 121 (Smoke #68),48.7029,-119.4458,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+08+09+17+M,197,274,155,0.5,69,20.9,29.6,13.6,64,87,35,974.3,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,196.00,193.00,183.00,171.00,161.00,156.00,157.00,155.00,160.00,159.00,172.00,199.00,205.00,196.00,205.00,211.00,234.00,260.00,274.00,274.00,252.00,216.00,199.00,181.00
09/08/17,Smoke RMK 122 (Smoke #69),48.5985,-120.4364,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+08+09+17+M,130,183,65,0.8,247,24.7,32.3,20.5,44,56,25,932.7,14.1,14.1,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,140.00,132.00,133.00,150.00,139.00,139.00,139.00,143.00,151.00,151.00,147.00,140.00,134.00,109.00,102.00,99.00,113.00,160.00,152.00,125.00,102.00,65.00,68.00,143.00
09/08/17,Smoke RMK 126 (Smoke #217),42.0547,-124.2769,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+08+09+17+M,0,0,0,0.3,-9999,95.8,-9999,-9999,0,-9999,-9999,300.0,0.0,0.0,0.0,0.00,19:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999,-9999,-9999
09/08/17,Smoke USFS R1-52,46.7535,-114.0836,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids152+08+09+17+M,265,349,192,0.6,293,18.3,30.4,11.7,67,88,30,901.7,14.1,14.3,14.0,1.95,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s152,228.00,221.00,228.00,211.00,192.00,205.00,213.00,273.00,305.00,289.00,290.00,276.00,288.00,294.00,349.00,339.00,307.00,301.00,268.00,260.00,239.00,261.00,249.00,257.00
09/08/17,Smoke USFS R1-53,48.8978,-115.0584,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+08+09+17+M,279,364,214,0.6,152,20.0,32.7,12.4,59,80,26,919.8,14.2,14.3,14.1,0.34,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,343.00,360.00,364.00,356.00,354.00,351.00,350.00,334.00,313.00,300.00,288.00,277.00,263.00,255.00,249.00,244.00,232.00,216.00,214.00,222.00,235.00,238.00,242.00,230.00
09/08/17,Smoke USFS R2-65,42.7642,-122.4903,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+08+09+17+M,63,88,48,0.4,-9999,22.0,27.3,20.4,90,94,62,920.4,14.2,14.2,14.2,0.93,20:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,87.00,88.00,-9999,84.00,82.00,76.00,74.00,76.00,61.00,54.00,51.00,50.00,48.00,49.00,49.00,50.00,49.00,55.00,62.00,68.00,69.00,-9999,-9999,-9999
09/08/17,Smoke NPS Yosemite 01,37.8774,-119.3432,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+08+09+17+M,17,43,-5,0.7,41,17.5,20.7,14.4,61,91,16,-9999,14.4,14.4,14.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,43.00,4.00,23.00,37.00,4.00,43.00,39.00,30.00,33.00,-1.00,18.00,26.00,28.00,19.00,-4.00,15.00,19.00,-5.00,19.00,16.00,17.00,-5.00,1.00,21.00
09/08/17,Smoke RMK 408 (EBAM #418),47.5261,-113.7081,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide418+08+09+17+M,221,286,151,0.7,349,20.8,38.8,3.8,100,-9999,-9999,-9999,14.1,14.1,14.0,16.60,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e418,328.00,271.00,286.00,280.00,284.00,256.00,187.00,183.00,192.00,188.00,175.00,178.00,154.00,151.00,159.00,158.00,206.00,260.00,284.00,268.00,234.00,248.00,258.00,246.00
