,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/23/21,Smoke RMK 106 (Smoke #66),43.3859,-110.8523,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm66+23+04+21+M,20,72,0,1.2,171,6.4,15.0,-0.7,11,77,0,789.3,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm66,9.00,27.00,24.00,33.00,50.00,28.00,48.00,56.00,8.00,15.00,17.00,16.00,35.00,16.00,72.00,25.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,6.00
04/23/21,Smoke RMK 107 (Smoke #67),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+23+04+21+M,1,2,0,1.4,-9999,6.9,9.9,4.7,56,73,46,818.6,14.4,14.4,14.4,2.00,14:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,1.00,2.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
04/23/21,Smoke RMK 109 (Smoke #84),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+23+04+21+M,2,9,0,1.8,180,11.0,18.0,5.8,46,66,27,816.8,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,23.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,8.00,9.00,7.00,5.00,7.00
04/23/21,Smoke RMK 116 (Smoke #21),39.389,-105.2734,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+23+04+21+M,37,60,0,0.8,269,6.0,15.0,-1.0,66,94,20,-9999,14.3,14.4,14.2,1.18,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,0.00,55.00,59.00,60.00,60.00,59.00,58.00,58.00,60.00,60.00,59.00,59.00,58.00,58.00,58.00,58.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/23/21,Smoke RMK 118 (Smoke #23),39.7177,-105.1287,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+23+04+21+M,1,3,0,1.4,-9999,14.9,17.6,13.3,34,35,32,819.3,14.2,14.2,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00,0.00
04/23/21,Smoke RMK 123 (Smoke #209),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids209+23+04+21+M,2,11,0,0.9,-9999,6.6,9.9,4.4,54,71,45,819.2,14.4,14.4,14.4,2.00,14:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s209,11.00,11.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
04/23/21,Smoke RMK 124 (Smoke #210),39.5996,-105.9886,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids210+23+04+21+M,1,2,0,1.1,142,-1.4,11.9,-9.9,79,94,40,717.5,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s210,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
04/23/21,Smoke RMK 126 (Smoke #217),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+23+04+21+M,2,3,1,1.7,-9999,12.8,15.4,10.9,31,39,24,817.9,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00
04/23/21,Smoke USFS R1-39,46.6322,-114.0802,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids139+23+04+21+M,3,12,1,1.4,196,8.1,16.6,3.2,70,92,47,898.1,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s139,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,8.00,12.00,11.00
