,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/18/18,Smoke RMK 105 (Smoke #17),42.5536,-121.9205,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+18+04+18+M,2,29,0,1.1,351,2.6,8.4,-1.3,62,74,47,870.2,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,0.00,29.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,9.00,3.00,2.00,0.00,0.00
04/18/18,Smoke RMK 107 (Smoke #67),39.4334,-105.1267,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+18+04+18+M,0,0,0,2.1,236,7.3,16.1,-0.8,33,54,13,815.7,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/18/18,Smoke RMK 115 (Smoke #20),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+18+04+18+M,7,59,0,4.5,-9999,11.7,40.3,3.7,32,40,24,825.5,14.3,14.4,14.0,0.90,13:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,59.00,0.00,0.00,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
04/18/18,Smoke RMK 117 (Smoke #22),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+18+04+18+M,0,0,0,0.3,-9999,14.7,15.2,14.2,1,-9999,-9999,830.3,14.2,14.2,14.2,2.00,20:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00,-9999,-9999,-9999
04/18/18,Smoke RMK 121 (Smoke #68),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+18+04+18+M,0,0,0,0.3,-9999,18.7,20.0,16.7,1,-9999,-9999,829.1,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00,0.00,0.00
04/18/18,Smoke RMK 122 (Smoke #69),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+18+04+18+M,0,1,0,0.5,-9999,4.6,14.4,1.6,32,43,14,826.3,14.4,14.4,14.2,1.99,19:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,-9999,-9999,-9999,-9999,0.00,0.00,-9999,-9999,-9999,-9999
04/18/18,Smoke RMK 125 (Smoke #216),42.6417,-121.8832,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+18+04+18+M,0,1,0,0.7,216,5.4,11.2,1.4,62,79,38,870.5,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/18/18,Smoke USFS R2-65,39.389,-105.2734,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+18+04+18+M,3,11,0,1.1,211,3.6,18.5,-9.2,43,75,10,796.8,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,1.00,1.00,0.00,0.00,0.00,1.00,9.00,4.00,8.00,11.00,9.00,4.00,3.00,3.00,3.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/18/18,Smoke USFS R3-86,35.687,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+18+04+18+M,3,23,-5,0.3,1,15.0,28.0,0.8,0,1,0,-9999,14.4,14.4,14.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,9.00,19.00,10.00,5.00,2.00,0.00,0.00,-4.00,-5.00,8.00,-5.00,-5.00,-5.00,-5.00,4.00,23.00,-5.00,-5.00,5.00,7.00,-5.00,21.00,2.00,-4.00
