,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
05/10/15,Smoke #13,43.8781,-121.4535,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm13+10+05+15+M,2,5,1,1.8,342,10.7,24.0,-0.5,49,82,19,871.6,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm13,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,4.00,3.00,5.00,4.00,3.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,1.00,3.00,2.00
05/10/15,Smoke RMK 110 (Smoke #215),38.6197,-79.2451,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+10+05+15+M,7,15,3,0.3,55,22.1,30.5,13.0,79,100,54,965.5,14.1,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,3.00,3.00,4.00,5.00,7.00,12.00,13.00,10.00,14.00,9.00,14.00,15.00,14.00,12.00,7.00,5.00,4.00,3.00,3.00,7.00,4.00,3.00,3.00,3.00
05/10/15,Smoke RMK 114 (Smoke #19),38.4592,-79.0266,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+10+05+15+M,6,21,4,1.1,257,23.1,30.0,16.3,74,92,55,-9999,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,4.00,6.00,21.00,8.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,6.00,7.00,8.00,8.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
05/10/15,Smoke USFS R9-16,47.821,-90.3607,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids916+10+05+15+M,0,1,0,1.6,246,5.0,11.1,-0.3,75,100,52,962.9,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s916,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/10/15,Smoke USFS R2-65,44.037,-121.3397,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+10+05+15+M,5,7,2,1.7,252,15.3,26.9,4.5,100,100,99,884.4,14.0,14.1,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,3.00,3.00,3.00,4.00,6.00,6.00,5.00,6.00,6.00,5.00,5.00,6.00,7.00,7.00,7.00,6.00,6.00,4.00,3.00,3.00,3.00,2.00,2.00,2.00
05/10/15,Smoke USFS R3-28,35.6715,-105.9557,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids328+10+05+15+M,1,25,-5,1.7,302,6.9,14.9,-0.5,0,-9999,-9999,-10.0,14.4,14.4,14.4,16.69,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s328,0.00,2.00,8.00,-4.00,0.00,-2.00,-1.00,-1.00,-1.00,0.00,1.00,0.00,-1.00,-3.00,25.00,21.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,3.00,5.00
05/10/15,Smoke NPS Yosemite 01,37.7488,-119.5872,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+10+05+15+M,11,82,-5,0.3,1,12.0,23.5,2.9,56,88,21,-10.0,14.4,14.4,14.4,16.69,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,9.00,0.00,13.00,27.00,-1.00,25.00,82.00,-3.00,10.00,2.00,12.00,5.00,7.00,13.00,1.00,9.00,-5.00,8.00,9.00,11.00,9.00,11.00,4.00,8.00
05/10/15,Smoke USFS R1-306,46.1001,-115.5446,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id1306+10+05+15+M,4,6,0,0.8,60,16.4,31.3,5.9,56,91,12,-9999,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=1306,0.00,0.00,0.00,0.00,2.00,2.00,1.00,2.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,5.00,6.00,4.00,4.00,4.00,4.00,4.00,6.00
