,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/25/17,Smoke RMK 104 (Smoke #15),42.553,-124.0575,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+25+09+17+M,17,26,1,0.7,50,18.8,29.9,11.6,68,92,34,1008.0,14.1,14.2,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,3.00,7.00,11.00,18.00,21.00,23.00,25.00,26.00,26.00,25.00,26.00,26.00,25.00,25.00,24.00,24.00,21.00,21.00,16.00,9.00,4.00,1.00,1.00,1.00
09/25/17,Smoke RMK 116 (Smoke #21),42.0546,-124.277,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+25+09+17+M,3,9,0,0.5,-9999,20.7,30.9,14.5,64,91,34,-9999,13.2,13.7,12.5,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,-9999,-9999,-9999,-9999,-9999,5.00,-9999,3.00,3.00,3.00,1.00,2.00,2.00,2.00,3.00,4.00,3.00,4.00,7.00,9.00,5.00,1.00,0.00,1.00
09/25/17,Smoke RMK 119 (Smoke #24),44.2608,-121.1468,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+25+09+17+M,2,3,1,1.1,114,13.5,24.2,6.0,48,69,27,911.3,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00
09/25/17,Smoke RMK 121 (Smoke #68),39.7144,-105.1238,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+25+09+17+M,3,4,2,0.8,-9999,10.2,10.9,9.4,83,89,73,825.6,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.00,2.00
09/25/17,Smoke RMK 122 (Smoke #69),45.641,-121.9403,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+25+09+17+M,7,13,4,1.9,250,17.9,23.6,15.2,77,91,52,1014.0,14.2,14.2,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,3.00,5.00,9.00,10.00,13.00,10.00,9.00,8.00,9.00,10.00,10.00,8.00,9.00,8.00,8.00,6.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,4.00
09/25/17,Smoke #86,46.637,-114.0853,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm86+25+09+17+M,8,22,1,0.4,218,10.7,15.1,7.6,71,83,55,902.0,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm86,2.00,2.00,3.00,4.00,11.00,15.00,22.00,10.00,9.00,10.00,9.00,12.00,16.00,12.00,11.00,9.00,6.00,9.00,6.00,2.00,2.00,1.00,1.00,1.00
09/25/17,Smoke USFS R1-53,48.8978,-115.0584,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+25+09+17+M,7,13,2,1.2,245,15.3,21.5,11.3,60,80,41,924.4,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,4.00,2.00,2.00,2.00,2.00,4.00,8.00,10.00,9.00,9.00,8.00,8.00,13.00,12.00,13.00,13.00,11.00,10.00,9.00,2.00,2.00,2.00,2.00,2.00
09/25/17,Smoke NPS Yosemite 01,37.8773,-119.3433,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+25+09+17+M,6,22,-5,0.5,-9999,14.9,16.2,13.7,72,84,54,-9999,14.4,14.4,14.4,16.70,4:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,3.00,-5.00,-4.00,22.00,9.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/25/17,Smoke USFS R1-306,47.1955,-114.8954,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id1306+25+09+17+M,13,71,3,0.4,221,12.5,18.8,8.2,72,90,49,-9999,14.3,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=1306,0.00,4.00,26.00,25.00,3.00,3.00,20.00,46.00,21.00,71.00,11.00,4.00,4.00,10.00,9.00,7.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,3.00
