,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
05/15/21,Smoke RMK 104 (Smoke #15),37.3502,-108.2908,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+15+05+21+M,1,5,0,0.3,2,19.1,30.7,6.2,15,28,8,783.4,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,0.00,0.00,0.00,5.00,3.00,3.00,4.00,2.00,4.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/15/21,Smoke RMK 107 (Smoke #67),40.0734,-106.0981,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+15+05+21+M,2,10,0,1.1,359,13.1,25.6,1.5,54,90,12,764.1,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,3.00,1.00,0.00,2.00,4.00,6.00,10.00,8.00,3.00,4.00,0.00,1.00,1.00,2.00
05/15/21,Smoke RMK 114 (Smoke #19),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+15+05+21+M,2,5,1,1.4,179,15.8,22.4,10.8,67,83,45,-9999,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,5.00,3.00,4.00,5.00
05/15/21,Smoke RMK 115 (Smoke #20),37.4771,-108.487,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+15+05+21+M,1,6,0,0.3,1,17.6,31.8,4.8,23,39,8,786.6,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,4.00,2.00,6.00,3.00,2.00,2.00,1.00,1.00,1.00
05/15/21,Smoke RMK 116 (Smoke #21),39.389,-105.2734,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+15+05+21+M,6,12,3,0.9,318,12.1,21.9,2.9,74,96,43,-9999,14.3,14.4,14.1,1.82,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,2.00,5.00,4.00,5.00,5.00,6.00,5.00,5.00,6.00,5.00,5.00,6.00,6.00,8.00,7.00,7.00,5.00,3.00,3.00,5.00,9.00,9.00,9.00,10.00
05/15/21,Smoke RMK 123 (Smoke #209),40.0771,-105.9296,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids209+15+05+21+M,1,2,0,1.3,324,10.1,22.8,-1.3,60,94,13,759.4,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s209,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,2.00
05/15/21,Smoke RMK 124 (Smoke #210),39.5996,-105.9886,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids210+15+05+21+M,1,2,1,1.7,124,9.6,19.8,-1.1,48,89,12,724.5,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00
05/15/21,Smoke USFS R1-53,47.5748,-116.4139,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+15+05+21+M,4,9,2,0.7,-9999,16.1,32.4,2.9,56,96,19,925.0,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,5.00,5.00,5.00,4.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,2.00,3.00,-9999,3.00,4.00,6.00,6.00,7.00,8.00,9.00
05/15/21,Smoke USFS R2-78,39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids278+15+05+21+M,4,8,2,1.4,177,16.3,22.6,11.6,76,92,51,827.2,14.2,14.2,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s278,7.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,4.00,7.00,8.00,6.00,5.00,7.00
05/15/21,Smoke USFS R3-28,35.6715,-105.9557,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids328+15+05+21+M,10,47,-5,2.2,274,10.2,-9999,-9999,0,-9999,-9999,-9999,14.1,14.2,14.0,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s328,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-2.00,-5.00,-5.00,2.00,4.00,5.00,6.00,-1.00,27.00,47.00,43.00,32.00,44.00,22.00,3.00,6.00,28.00,-5.00
