,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
06/30/22,Smoke RMK 116 (Smoke #21),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+30+06+22+M,3,5,1,1.4,178,24.3,30.8,20.0,44,66,26,-9999,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,1.00,1.00,2.00,3.00,4.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,4.00,4.00,3.00,3.00,1.00,1.00,1.00,3.00,2.00,1.00,3.00,4.00
06/30/22,Smoke RMK 118 (Smoke #23),35.8807,-78.8691,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+30+06+22+M,1,6,0,0.5,185,29.8,39.1,24.2,73,100,34,1010.0,14.1,14.1,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,5.00,6.00,3.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
06/30/22,Smoke RMK 128 (Smoke #457),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids457+30+06+22+M,1,2,0,0.3,7,23.6,31.4,18.2,46,72,28,828.7,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s457,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00
06/30/22,Smoke USFS R2-65,39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+30+06+22+M,7,10,1,1.3,-9999,20.4,28.3,15.8,38,62,19,829.0,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,0.00,1.00,4.00,5.00,6.00,9.00,10.00,10.00,10.00,9.00,9.00,9.00,9.00,8.00,8.00,8.00,7.00,5.00,4.00,4.00,9.00,-9999,5.00,1.00
06/30/22,Smoke USFS R3-28,35.6715,-105.9555,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids328+30+06+22+M,6,87,-5,0.8,-9999,26.2,35.2,18.6,0,1,0,-9999,14.2,14.2,14.1,16.70,22:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s328,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,87.00,77.00,33.00,2.00,2.00,-5.00,-5.00,-5.00,-5.00,4.00,-9999
06/30/22,Smoke USFS R3-86,36.3924,-105.2851,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+30+06+22+M,5,12,-3,1.1,-9999,8.6,24.1,-2.6,0,1,0,-9999,13.9,13.9,13.8,16.69,19:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,8.00,-2.00,0.00,4.00,1.00,3.00,4.00,2.00,4.00,6.00,6.00,5.00,4.00,-3.00,5.00,9.00,9.00,12.00,9.00,8.00,-9999,-9999,-9999,-9999
