,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/29/12,Smoke RMK 114 (Smoke #19),43.5651,-116.2087,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+29+01+12+M,3,11,0,1.0,112,2.9,15.2,-1.0,49,64,23,-9999,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,2.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,5.00,6.00,0.00,0.00,10.00,11.00,7.00,5.00,4.00,4.00,0.00,0.00,0.00,4.00
01/29/12,Smoke RMK 119 (Smoke #24),33.1996,-86.1926,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+29+01+12+M,0,1,0,0.8,264,7.4,18.6,-1.3,59,91,13,-9999,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
