,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/28/16,Smoke RMK 105 (Smoke #17),40.7325,-106.2806,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+28+09+16+M,929,933,923,0.8,169,11.6,28.8,-1.9,47,79,13,760.2,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,923.00,925.00,928.00,930.00,930.00,931.00,931.00,932.00,933.00,933.00,933.00,933.00,933.00,933.00,933.00,931.00,929.00,928.00,926.00,925.00,924.00,923.00,923.00,923.00
09/28/16,Smoke RMK 109 (Smoke #84),40.1537,-106.9133,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+28+09+16+M,0,1,0,2.5,140,13.0,27.9,3.6,46,77,13,767.3,14.3,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/28/16,Smoke RMK 117 (Smoke #22),37.4611,-108.5157,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+28+09+16+M,1,2,0,2.4,250,17.0,27.8,8.5,44,68,18,789.7,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,1.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
09/28/16,Smoke RMK 121 (Smoke #68),38.3394,-112.547,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+28+09+16+M,1,12,0,0.8,47,14.8,23.7,7.3,59,84,32,799.9,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,1.00,0.00,0.00,1.00,0.00,3.00,12.00,10.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/28/16,Smoke RMK 131 (USFS R2-924),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2924+28+09+16+M,0,0,0,1.5,-9999,30.3,33.7,25.6,19,24,16,832.6,14.1,14.2,14.1,1.96,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2924,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/28/16,FWS Smoke #1,48.3441,-117.2723,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmf1+28+09+16+M,10,27,1,1.2,322,12.9,26.3,2.6,0,1,0,941.5,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smf1,1.00,1.00,1.00,1.00,1.00,3.00,7.00,23.00,27.00,19.00,16.00,13.00,18.00,22.00,17.00,14.00,12.00,9.00,13.00,4.00,4.00,2.00,3.00,2.00
09/28/16,Smoke USFS R9-60,46.7048,-92.2151,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids960+28+09+16+M,0,0,0,1.1,353,13.3,17.0,10.5,86,100,74,991.9,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s960,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/28/16,Smoke #86,47.5354,-113.7211,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm86+28+09+16+M,5,32,0,0.6,-9999,13.3,26.7,7.1,72,89,26,890.9,14.2,14.3,14.0,2.00,21:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm86,1.00,-9999,2.00,3.00,8.00,32.00,21.00,2.00,1.00,0.00,0.00,0.00,3.00,0.00,-9999,-9999,0.00,-9999,-9999,-9999,0.00,1.00,-9999,-9999
09/28/16,Smoke USFS R1-52,48.8978,-115.0584,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids152+28+09+16+M,15,47,0,0.8,26,16.9,29.3,9.3,55,82,24,925.8,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s152,0.00,0.00,2.00,5.00,9.00,35.00,47.00,44.00,16.00,21.00,46.00,30.00,13.00,13.00,13.00,14.00,13.00,8.00,5.00,4.00,3.00,3.00,2.00,2.00
