,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
08/31/18,Smoke RMK 106 (Smoke #66),44.183,-122.2129,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm66+31+08+18+M,1,1,1,1.5,-9999,28.1,-9999,-9999,34,-9999,-9999,963.0,14.4,14.4,14.4,1.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
08/31/18,Smoke RMK 110 (Smoke #215),42.553,-124.0578,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+31+08+18+M,2,14,0,0.7,273,24.8,35.0,20.1,69,95,23,1010.0,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,14.00,6.00,1.00,0.00,1.00
08/31/18,Smoke RMK 115 (Smoke #20),42.8968,-122.1354,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+31+08+18+M,11,32,0,0.5,28,13.3,24.5,6.6,55,82,32,806.2,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,15.00,32.00,16.00,5.00,2.00,2.00,20.00,28.00,22.00,18.00,19.00,17.00,17.00,16.00,11.00,9.00,5.00,5.00,0.00,1.00,2.00,4.00,3.00,2.00
08/31/18,Smoke RMK 118 (Smoke #23),48.7105,-119.4341,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+31+08+18+M,5,10,1,0.8,353,20.5,34.3,9.3,49,75,19,974.3,14.1,14.3,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,9.00,10.00,10.00,9.00,8.00,9.00,7.00,9.00,5.00,6.00,5.00,4.00,4.00,2.00,3.00,5.00,2.00,2.00,5.00,4.00,2.00,1.00,1.00,4.00
08/31/18,Smoke RMK 119 (Smoke #24),42.5158,-123.4289,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+31+08+18+M,2,21,0,0.6,11,23.8,35.6,17.5,50,68,25,984.9,14.1,14.2,13.6,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,65.00,21.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
08/31/18,Smoke RMK 122 (Smoke #69),42.7637,-122.4896,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+31+08+18+M,28,74,8,0.8,324,20.0,30.2,12.1,55,85,27,925.8,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,31.00,24.00,30.00,8.00,23.00,32.00,34.00,33.00,28.00,28.00,24.00,21.00,19.00,17.00,18.00,14.00,15.00,17.00,18.00,20.00,34.00,68.00,74.00,49.00
08/31/18,Smoke RMK 125 (Smoke #216),47.6753,-120.2106,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+31+08+18+M,2,7,0,2.3,212,21.3,30.5,14.2,35,54,22,981.0,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,2.00,1.00,3.00,1.00,1.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,1.00,2.00,7.00,7.00,1.00,2.00,1.00,1.00,2.00,0.00,0.00,0.00
08/31/18,Smoke RMK 126 (Smoke #217),42.2783,-123.6461,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+31+08+18+M,19,75,0,1.2,337,21.6,32.6,13.7,55,83,26,969.5,14.1,14.2,13.5,1.41,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,10.00,30.00,54.00,52.00,53.00,29.00,17.00,15.00,34.00,9.00,7.00,11.00,8.00,7.00,7.00,9.00,75.00,37.00,4.00,1.00,0.00,0.00,0.00,0.00
08/31/18,FWS Smoke #1,39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmf1+31+08+18+M,0,1,0,0.3,-9999,28.5,31.1,25.9,0,-9999,-9999,823.9,14.1,14.1,14.1,1.97,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smf1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,0.00,0.00,0.00,1.00
