,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
08/22/12,Smoke RMK 104 (Smoke #15),43.5651,-116.2087,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+22+08+12+M,13,24,3,0.8,101,28.0,39.6,17.0,27,55,1,911.5,14.0,14.2,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,22.00,23.00,20.00,21.00,24.00,23.00,23.00,23.00,21.00,22.00,17.00,13.00,9.00,6.00,7.00,20.00,6.00,8.00,7.00,5.00,5.00,5.00,5.00,4.00
08/22/12,Smoke RMK 115 (Smoke #20),44.2177,-114.9503,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+22+08+12+M,52,103,26,1.2,216,15.1,27.0,2.4,68,100,21,-9999,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,46.00,48.00,45.00,44.00,49.00,46.00,35.00,34.00,32.00,29.00,30.00,38.00,39.00,48.00,52.00,72.00,87.00,103.00,68.00,26.00,47.00,72.00,88.00,73.00
08/22/12,Smoke RMK 116 (Smoke #21),44.5044,-114.2225,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+22+08+12+M,23,87,5,1.1,220,21.5,34.4,12.2,52,81,11,-9999,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,13.00,13.00,5.00,7.00,8.00,8.00,7.00,9.00,14.00,15.00,17.00,19.00,25.00,26.00,18.00,19.00,20.00,23.00,19.00,22.00,23.00,45.00,50.00,57.00
08/22/12,Smoke #25,46.9269,-114.0962,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm25+22+08+12+M,14,25,1,0.3,2,22.3,35.8,14.3,1,-9999,-9999,900.9,14.1,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm25,15.00,13.00,13.00,12.00,14.00,14.00,14.00,15.00,15.00,16.00,16.00,16.00,14.00,15.00,18.00,20.00,19.00,21.00,25.00,18.00,12.00,7.00,5.00,1.00
