,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/19/18,Smoke RMK 104 (Smoke #15),40.4774,-111.3997,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+19+09+18+M,13,31,0,2.2,161,17.1,28.1,4.6,28,56,9,819.1,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,0.00,1.00,2.00,2.00,2.00,3.00,5.00,18.00,17.00,25.00,16.00,19.00,31.00,27.00,22.00,24.00,28.00,29.00,12.00,17.00,15.00,3.00,0.00
09/19/18,Smoke RMK 110 (Smoke #215),42.553,-124.0577,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+19+09+18+M,51,439,0,0.9,51,23.6,31.5,17.7,60,95,23,1008.0,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,2.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,11.00,27.00,80.00,148.00,331.00,439.00,174.00,14.00,0.00,0.00
09/19/18,Smoke RMK 116 (Smoke #21),40.0429,-111.7354,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+19+09+18+M,21,81,0,0.9,143,21.9,35.1,10.7,33,96,6,-9999,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,0.00,1.00,7.00,81.00,54.00,26.00,24.00,25.00,16.00,10.00,9.00,9.00,10.00,30.00,37.00,57.00,48.00,29.00,25.00,2.00,1.00,1.00,0.00,0.00
09/19/18,Smoke RMK 118 (Smoke #23),48.7104,-119.4341,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+19+09+18+M,828,835,810,0.5,-9999,14.8,28.0,8.8,61,80,27,977.5,14.2,14.3,13.9,2.00,15:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,811.00,810.00,812.00,817.00,822.00,826.00,829.00,831.00,831.00,832.00,833.00,834.00,834.00,834.00,834.00,835.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/19/18,Smoke RMK 125 (Smoke #216),47.6753,-120.2107,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+19+09+18+M,3,9,1,0.8,241,15.9,26.7,7.9,49,70,24,981.9,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,9.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,5.00,4.00,4.00,2.00,2.00,1.00
09/19/18,FWS Smoke #1,37.2864,-107.5215,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmf1+19+09+18+M,128,421,0,0.8,17,16.6,31.5,6.9,43,67,15,782.9,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smf1,0.00,0.00,1.00,3.00,39.00,114.00,109.00,99.00,153.00,132.00,166.00,294.00,393.00,421.00,385.00,376.00,268.00,70.00,27.00,4.00,3.00,2.00,2.00,2.00
09/19/18,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+19+09+18+M,3,7,0,0.3,1,18.2,32.7,4.8,1,1,0,756.1,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,1.00,2.00,2.00,2.00,3.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,7.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00
09/19/18,Smoke RMK 407 (EBAM #231),42.3613,-124.4042,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide231+19+09+18+M,8,41,-5,1.9,-9999,8.5,21.4,4.4,59,71,26,-9999,13.5,13.8,13.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e231,9.00,11.00,5.00,-5.00,-4.00,21.00,9.00,18.00,-5.00,13.00,12.00,10.00,-5.00,8.00,-3.00,-5.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.00
09/19/18,Smoke RMK 408 (EBAM #418),37.7092,-108.7405,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide418+19+09+18+M,4,12,-5,2.0,-9999,13.2,16.3,10.2,66,79,52,-9999,13.7,13.9,13.6,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e418,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.00,-5.00
