,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/29/15,Smoke RMK 104 (Smoke #15),39.8859,-105.7634,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+29+01+15+M,0,1,0,1.3,201,1.7,11.2,-2.6,63,80,28,731.3,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
01/29/15,Smoke RMK 105 (Smoke #17),39.9104,-105.7975,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+29+01+15+M,2,7,0,0.3,2,2.2,13.9,-2.7,65,80,28,732.3,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,8.00,6.00,6.00,6.00,7.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/29/15,Smoke RMK 107 (Smoke #67),35.852,-81.967,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+29+01+15+M,11,19,4,0.4,-9999,-1.7,1.4,-2.9,93,100,70,965.2,12.1,12.6,11.5,2.00,12:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,6.00,4.00,8.00,10.00,10.00,19.00,16.00,16.00,12.00,11.00,11.00,9.00,9.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01/29/15,Smoke RMK 109 (Smoke #84),47.5422,-116.255,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+29+01+15+M,6,27,0,0.4,179,3.6,7.8,1.3,91,98,70,942.5,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,1.00,0.00,2.00,7.00,7.00,5.00,7.00,27.00,10.00,7.00,4.00,5.00,17.00,3.00,2.00,3.00,22.00,2.00,2.00,2.00,5.00,6.00,1.00,1.00
01/29/15,Smoke RMK 115 (Smoke #20),47.1109,-116.3929,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+29+01+15+M,43,142,7,0.4,139,2.1,11.8,-2.3,93,100,65,-9999,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,14.00,33.00,55.00,46.00,60.00,77.00,121.00,142.00,117.00,107.00,15.00,9.00,16.00,12.00,33.00,32.00,13.00,21.00,22.00,28.00,24.00,14.00,7.00,9.00
01/29/15,Smoke RMK 116 (Smoke #21),39.9192,-105.7845,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+29+01+15+M,2,11,0,0.6,298,5.3,13.3,1.1,65,80,30,-9999,14.4,14.4,14.3,1.25,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,1.00,0.00,2.00,2.00,2.00,3.00,7.00,4.00,11.00,0.00,0.00,1.00,3.00,2.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00
01/29/15,Smoke RMK 125 (Smoke #216),47.5501,-116.2945,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+29+01+15+M,6,35,1,0.9,139,7.7,13.9,4.7,83,91,61,948.9,14.4,14.4,14.3,1.27,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,16.00,12.00,11.00,11.00,6.00,3.00,5.00,5.00,7.00,6.00,5.00,3.00,3.00,4.00,3.00,3.00,9.00,3.00,2.00,2.00,2.00,1.00,2.00,4.00
01/29/15,Smoke RMK 126 (Smoke #217),47.5455,-116.1791,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+29+01+15+M,11,53,2,0.3,323,8.5,13.7,6.0,90,99,60,950.5,14.4,14.4,14.4,1.22,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,3.00,24.00,19.00,14.00,53.00,45.00,17.00,8.00,6.00,4.00,6.00,5.00,3.00,3.00,6.00,9.00,8.00,3.00,2.00,2.00,2.00,2.00,2.00,5.00
