,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
06/19/15,Smoke #13,43.878,-121.4535,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm13+19+06+15+M,0,1,0,1.6,-9999,13.7,26.5,5.7,60,89,27,871.6,14.2,14.3,13.9,2.00,17:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm13,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999,-9999,-9999,-9999,-9999
06/19/15,Smoke RMK 115 (Smoke #20),42.103,-123.6814,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+19+06+15+M,5,28,0,1.3,5,19.8,31.0,10.1,45,80,17,-9999,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,-9999,28.00,28.00,4.00,3.00,3.00,3.00,4.00,5.00,6.00,6.00,5.00,5.00,6.00,5.00,6.00,6.00,5.00,2.00,1.00,0.00,0.00,0.00,0.00
06/19/15,Smoke RMK 129 (USFS R2-922),46.9269,-114.0962,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2922+19+06+15+M,3,8,0,0.8,-9999,23.7,31.9,17.6,35,58,17,-9999,14.1,14.3,13.8,1.95,21:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2922,0.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,5.00,6.00,8.00,8.00,2.00,3.00,1.00,0.00,0.00,0.00,-9999,-9999
06/19/15,Smoke RMK 130 (USFS R2-923),46.9268,-114.0961,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2923+19+06+15+M,1,3,0,0.9,-9999,23.5,32.2,17.2,35,57,17,-9999,14.2,14.3,13.4,1.91,21:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2923,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,-9999,0.00,0.00,0.00,0.00,-9999,-9999
06/19/15,Smoke RMK 131 (USFS R2-924),46.9269,-114.0962,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2924+19+06+15+M,51,72,5,1.0,-9999,23.2,31.6,16.8,35,58,18,-9999,14.2,14.3,14.1,2.00,21:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2924,0.00,5.00,15.00,22.00,25.00,47.00,52.00,57.00,61.00,65.00,69.00,70.00,70.00,70.00,72.00,70.00,69.00,68.00,54.00,38.00,34.00,35.00,-9999,-9999
06/19/15,Smoke USFS R9-60,47.999,-91.9514,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids960+19+06+15+M,1,2,0,0.9,286,15.2,24.5,4.9,71,100,36,966.6,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s960,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
06/19/15,Smoke USFS R9-16,47.9004,-91.8723,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids916+19+06+15+M,2,8,0,1.4,31,17.7,27.8,7.9,58,95,32,963.3,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s916,0.00,0.00,1.00,2.00,2.00,2.00,4.00,8.00,5.00,5.00,4.00,4.00,3.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
06/19/15,Smoke NPS Yosemite 01,37.6745,-119.7839,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+19+06+15+M,10,22,0,1.1,-9999,33.6,34.0,33.3,4,5,3,-10.0,14.4,14.4,14.4,14.25,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,22.00,11.00
