,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
07/25/19,Smoke RMK 118 (Smoke #23),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+25+07+19+M,0,0,0,1.0,171,27.2,34.2,21.2,40,51,25,828.3,14.0,14.0,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07/25/19,Smoke RMK 123 (Smoke #209),66.5704,-145.2448,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids209+25+07+19+M,267,850,88,0.3,2,22.2,30.8,17.5,62,82,33,990.5,14.3,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s209,1073.00,850.00,472.00,299.00,496.00,409.00,342.00,341.00,337.00,309.00,285.00,217.00,145.00,126.00,110.00,100.00,88.00,168.00,246.00,241.00,206.00,146.00,152.00,162.00
07/25/19,Smoke RMK 124 (Smoke #210),60.4813,-149.7254,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids210+25+07+19+M,4,9,1,1.1,209,17.2,22.4,13.8,73,90,46,997.3,14.3,14.3,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s210,4.00,3.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,7.00,8.00,9.00,9.00,5.00
07/25/19,Smoke RMK 127 (Smoke #454),60.103,-149.4435,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids454+25+07+19+M,6,10,4,0.5,-9999,16.7,22.1,13.9,87,98,69,1011.0,14.2,14.2,14.1,2.00,20:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s454,8.00,8.00,7.00,7.00,6.00,6.00,6.00,10.00,6.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,4.00,6.00,6.00,5.00,7.00,-9999,-9999,-9999
07/25/19,Smoke USFS R1-53,48.9711,-115.195,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+25+07+19+M,24,29,21,0.7,179,19.2,32.6,8.5,58,97,19,917.6,14.2,14.4,14.0,1.43,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,24.00,22.00,23.00,22.00,22.00,22.00,21.00,23.00,22.00,22.00,21.00,21.00,21.00,21.00,22.00,23.00,24.00,25.00,24.00,24.00,27.00,29.00,29.00,29.00
07/25/19,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+25+07+19+M,0,2,0,0.3,1,16.7,29.0,11.1,1,-9999,-9999,763.1,14.2,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,3.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07/25/19,Smoke USFS R3-86,35.687,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+25+07+19+M,5,40,-5,0.3,302,20.2,29.0,12.6,1,-9999,-9999,-9999,14.3,14.4,14.3,16.67,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,18.00,-5.00,10.00,-5.00,40.00,23.00,-5.00,-5.00,8.00,-5.00,1.00,26.00,3.00,-5.00,-4.00,-5.00,1.00,-2.00,-5.00,-5.00,18.00,15.00,3.00,4.00
07/25/19,Smoke NPS Yosemite 01,37.6746,-119.7839,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmy1+25+07+19+M,7,20,-1,0.8,-9999,33.4,37.4,26.0,29,49,18,-9999,14.4,14.4,14.4,14.37,23:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smy1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00,1.00,14.00,20.00,14.00,9.00,1.00,-1.00
07/25/19,Smoke RMK 414 (EBAM #882),37.5112,-108.4835,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide882+25+07+19+M,4,4,4,1.4,-9999,20.5,-9999,-9999,36,-9999,-9999,-9999,14.1,14.1,14.1,16.60,1:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e882,1.00,4.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
