,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
10/16/23,Smoke RMK 127 (Smoke #454),39.7143,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids454+16+10+23+M,2,4,0,0.8,-9999,17.7,31.7,15.2,72,93,46,831.2,14.3,14.4,14.1,1.94,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s454,3.00,2.00,2.00,3.00,3.00,4.00,4.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,-9999,2.00,-9999,-9999,0.00,1.00,1.00,1.00
10/16/23,Smoke USFS R3-86,35.687,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+16+10+23+M,2,15,-5,0.5,299,10.3,22.6,2.4,1,-9999,-9999,-9999,14.2,14.2,14.2,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,-2.00,5.00,-5.00,1.00,2.00,2.00,2.00,0.00,0.00,4.00,0.00,0.00,4.00,3.00,1.00,-5.00,-5.00,15.00,7.00,2.00,2.00,3.00,2.00,-5.00
10/16/23,Smoke RMK 408 (EBAM #418),37.4715,-108.5163,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide418+16+10+23+M,1,9,-5,1.2,63,13.4,24.4,5.2,30,46,11,-9999,14.3,14.3,14.3,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e418,2.00,-5.00,-1.00,1.00,5.00,0.00,1.00,-2.00,3.00,2.00,-2.00,0.00,1.00,2.00,3.00,-3.00,-4.00,9.00,4.00,2.00,3.00,1.00,2.00,0.00
10/16/23,Smoke RMK 400 (EBAM #487),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide487+16+10+23+M,3,12,-4,1.1,-9999,14.1,23.0,6.3,46,62,31,-9999,11.6,11.7,11.6,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e487,9.00,6.00,10.00,8.00,7.00,9.00,2.00,1.00,12.00,8.00,0.00,1.00,6.00,-9999,-9999,-4.00,-1.00,0.00,6.00,1.00,-2.00,-2.00,4.00,-1.00
10/16/23,Smoke RMK 401 (EBAM #488),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide488+16+10+23+M,5,13,-7,1.1,-9999,12.7,22.8,8.0,51,63,29,-9999,11.8,11.8,11.8,12.49,18:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e488,9.00,4.00,7.00,8.00,7.00,13.00,5.00,12.00,9.00,5.00,6.00,2.00,10.00,11.00,4.00,-4.00,-7.00,-2.00,0.00,-9999,-9999,-9999,-9999,-9999
10/16/23,Smoke RMK 414 (EBAM #882),37.3504,-108.2907,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide882+16+10+23+M,2,9,-5,0.3,56,8.1,20.6,-1.8,27,49,4,-9999,13.5,13.6,13.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e882,-2.00,-1.00,3.00,1.00,-1.00,7.00,0.00,4.00,-2.00,3.00,3.00,9.00,3.00,6.00,8.00,-5.00,2.00,4.00,2.00,3.00,0.00,6.00,1.00,-1.00
10/16/23,Smoke USFS R2-264,40.7788,-105.4746,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2264+16+10+23+M,2,6,0,0.9,-9999,13.2,25.2,3.5,75,-9999,-9999,771.0,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=2264,0.00,0.00,1.00,2.00,4.00,5.00,6.00,-9999,-9999,2.00,-9999,2.00,-9999,3.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/16/23,EPA R8 EBAM 001 Smoke,39.665,-105.3398,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idse01+16+10+23+M,2,9,-5,0.5,330,6.8,20.0,-2.0,51,76,22,-9999,11.6,11.7,11.6,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=se01,7.00,-4.00,-2.00,-5.00,-1.00,7.00,-1.00,3.00,1.00,6.00,5.00,-2.00,-2.00,3.00,-5.00,-1.00,9.00,4.00,3.00,3.00,4.00,7.00,4.00,1.00
