,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
06/09/12,Smoke RMK 107 (Smoke #67),37.446,-107.1931,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+09+06+12+M,12,41,0,1.1,336,18.0,31.2,4.2,30,64,8,757.3,14.2,14.4,13.6,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,7.00,7.00,13.00,21.00,25.00,14.00,4.00,1.00,1.00,7.00,15.00,25.00,36.00,41.00,30.00,20.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
06/09/12,Smoke RMK 117 (Smoke #22),43.5651,-116.2088,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm22+09+06+12+M,2,4,1,1.2,49,14.4,27.9,8.0,52,89,15,910.0,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm22,0.00,1.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00
06/09/12,Smoke RMK 121 (Smoke #68),37.27,-107.0047,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+09+06+12+M,-874125,0,-999000,-873.9,-9999,-868.7,43.9,-998.9,-873,8,-999,88.8,-873.2,7.0,-999.0,-874.00,16:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,0.00,0.00,0.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-999000.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999
