,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/26/21,Smoke RMK 112 (Smoke #11),37.3502,-108.2907,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+26+09+21+M,0,1,0,1.1,146,13.6,20.6,5.5,49,69,17,784.9,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
09/26/21,Smoke RMK 113 (Smoke #16),37.4774,-108.4873,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm16+26+09+21+M,1,4,0,0.3,1,19.7,32.5,11.0,58,79,25,791.2,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm16,0.00,1.00,4.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
09/26/21,Smoke RMK 125 (Smoke #216),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+26+09+21+M,0,0,0,1.5,180,16.8,28.0,7.2,18,31,8,824.6,14.1,14.3,14.0,0.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/26/21,Smoke RMK 127 (Smoke #454),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids454+26+09+21+M,3,6,2,1.4,180,21.5,31.5,12.1,20,35,7,826.0,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s454,4.00,4.00,5.00,6.00,6.00,5.00,3.00,3.00,3.00,3.00,3.00,2.00,4.00,3.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00
09/26/21,Smoke USFS R2-78,39.7143,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids278+26+09+21+M,3,6,2,1.5,185,19.8,31.6,9.9,17,30,6,824.5,14.2,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s278,2.00,2.00,4.00,6.00,6.00,6.00,4.00,4.00,3.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00
09/26/21,Smoke USFS R3-28,35.6715,-105.9556,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids328+26+09+21+M,3,37,-5,1.7,348,30.4,32.5,26.3,100,-9999,-9999,-9999,14.1,14.2,14.0,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s328,-5.00,-2.00,-5.00,-2.00,4.00,-2.00,1.00,-1.00,1.00,3.00,-1.00,1.00,3.00,5.00,2.00,17.00,37.00,0.00,-3.00,5.00,0.00,-4.00,-5.00,8.00
09/26/21,Smoke USFS 3016,45.5486,-113.9309,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids316+26+09+21+M,28,77,2,0.8,337,18.3,32.6,8.0,43,71,11,860.0,14.1,14.2,13.9,1.51,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s316,1.00,2.00,2.00,2.00,5.00,19.00,24.00,30.00,42.00,47.00,53.00,50.00,46.00,45.00,44.00,53.00,77.00,57.00,16.00,7.00,6.00,6.00,9.00,9.00
09/26/21,AQB Smoke EBAM T-1,36.7575,-108.1823,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ideat1+26+09+21+M,4,12,-5,0.9,81,17.3,24.1,12.1,0,1,0,-9999,14.0,14.0,13.8,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=eat1,8.00,7.00,-5.00,3.00,0.00,2.00,0.00,3.00,2.00,2.00,1.00,8.00,5.00,8.00,3.00,5.00,3.00,8.00,3.00,7.00,9.00,0.00,4.00,4.00
09/26/21,AQB Smoke EBAM T-2,36.7576,-108.1823,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ideat2+26+09+21+M,5,27,-5,0.9,-9999,13.4,22.7,6.7,0,1,0,-9999,14.1,14.2,14.0,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=eat2,7.00,-5.00,-5.00,-5.00,-5.00,-1.00,-3.00,-5.00,1.00,3.00,-1.00,0.00,-5.00,6.00,7.00,17.00,-3.00,14.00,17.00,22.00,27.00,-9999,9.00,18.00
