,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/28/24,Smoke RMK 108 (Smoke #456),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids456+28+03+24+M,1,2,1,1.4,315,11.3,20.7,2.7,26,50,14,823.4,14.5,14.5,14.5,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s456,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
03/28/24,Smoke RMK 112 (Smoke #11),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+28+03+24+M,1,2,1,1.5,198,11.9,21.1,3.4,35,58,22,820.3,14.3,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
03/28/24,Smoke USFS R3-86,35.687,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+28+03+24+M,1,5,-5,0.5,313,-4.3,8.4,-13.5,1,1,0,-9999,13.9,13.9,13.9,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,-5.00,5.00,2.00,0.00,-1.00,-3.00,0.00,1.00,0.00,1.00,0.00,3.00,3.00,-4.00,4.00,-5.00,5.00,5.00,4.00,1.00,0.00,2.00,2.00,-3.00
03/28/24,Smoke RMK 400 (EBAM #487),39.7143,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide487+28+03+24+M,0,5,-6,1.2,326,13.3,22.8,5.0,28,52,16,-9999,11.6,11.6,11.6,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e487,6.00,1.00,4.00,3.00,0.00,4.00,-3.00,4.00,-1.00,4.00,3.00,3.00,1.00,-1.00,0.00,4.00,-4.00,-1.00,-6.00,-1.00,-2.00,-5.00,-3.00,5.00
03/28/24,Smoke RMK 401 (EBAM #488),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide488+28+03+24+M,1,8,-6,1.3,345,11.1,20.4,2.5,29,53,17,-9999,11.8,11.8,11.8,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e488,-1.00,-2.00,2.00,-1.00,8.00,6.00,-5.00,1.00,6.00,7.00,-6.00,1.00,7.00,-5.00,0.00,-6.00,-1.00,-1.00,3.00,-1.00,3.00,3.00,3.00,1.00
03/28/24,Smoke RMK 405 (EBAM #947),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide947+28+03+24+M,2,9,-6,1.4,277,9.6,19.2,1.1,29,53,17,-9999,11.7,11.7,11.7,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e947,-1.00,7.00,-6.00,5.00,-1.00,-4.00,5.00,-1.00,4.00,2.00,0.00,1.00,3.00,-2.00,3.00,0.00,2.00,2.00,1.00,8.00,9.00,1.00,0.00,4.00
03/28/24,Smoke RMK 406 (EBAM #949),39.7143,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide949+28+03+24+M,3,11,-5,1.3,162,12.1,21.7,3.5,28,52,16,-9999,11.8,11.8,11.7,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e949,-5.00,4.00,5.00,3.00,6.00,8.00,1.00,2.00,3.00,11.00,7.00,2.00,4.00,1.00,0.00,-3.00,-5.00,-2.00,5.00,4.00,7.00,5.00,-3.00,-3.00
03/28/24,Smoke USFS R1-307,46.584,-112.0421,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id1307+28+03+24+M,0,3,0,0.9,335,6.9,11.9,3.8,61,88,33,-9999,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=1307,0.00,1.00,3.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/28/24,Smoke USFS R2-264,40.5595,-105.086,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2264+28+03+24+M,1,1,1,1.3,-9999,12.1,19.4,2.0,36,61,19,841.3,14.3,14.4,14.1,2.00,20:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=2264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-9999,-9999,-9999
