,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
07/30/17,Smoke #13,42.0543,-124.2769,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm13+30+07+17+M,5,11,1,0.7,152,20.5,31.3,14.0,70,88,45,1003.0,14.1,14.2,13.9,1.56,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm13,7.00,8.00,5.00,3.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,1.00,1.00,2.00,7.00,7.00,7.00,5.00,8.00,10.00,10.00,9.00,9.00,9.00
07/30/17,Smoke RMK 104 (Smoke #15),42.553,-124.0577,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+30+07+17+M,3,5,0,1.2,315,27.3,42.7,16.1,44,70,16,1008.0,14.0,14.1,13.8,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,2.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00
07/30/17,Smoke RMK 114 (Smoke #19),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+30+07+17+M,3,7,0,0.8,324,23.0,29.5,17.8,59,78,41,-9999,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,0.00,0.00,1.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,5.00,6.00,7.00,4.00,3.00,3.00,3.00
07/30/17,Smoke RMK 118 (Smoke #23),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+30+07+17+M,3,6,0,1.0,67,23.9,30.1,19.0,62,82,42,831.9,14.0,14.1,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,0.00,0.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,5.00,6.00,3.00,2.00,2.00
07/30/17,Smoke USFS R1-52,46.7533,-114.0903,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids152+30+07+17+M,23,39,1,1.0,240,26.6,41.2,14.1,36,70,12,907.2,14.0,14.2,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s152,1.00,9.00,7.00,6.00,9.00,10.00,19.00,37.00,39.00,35.00,34.00,36.00,38.00,36.00,33.00,32.00,34.00,29.00,31.00,26.00,21.00,14.00,13.00,3.00
07/30/17,Smoke USFS R1-53,48.8978,-115.0584,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+30+07+17+M,1,4,0,1.5,360,28.2,39.6,15.6,26,51,6,925.5,14.1,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,1.00
07/30/17,Smoke USFS R1-39,46.3159,-113.3001,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids139+30+07+17+M,4,32,0,0.8,8,22.3,36.1,9.1,40,71,15,844.7,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s139,27.00,32.00,4.00,1.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,7.00,11.00,11.00,12.00,6.00,2.00,1.00,0.00
07/30/17,Smoke RMK 408 (EBAM #418),46.9269,-114.096,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide418+30+07+17+M,26,48,14,1.1,358,40.6,60.8,25.8,100,-9999,-9999,-9999,14.2,14.4,14.1,15.22,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e418,34.00,48.00,42.00,16.00,31.00,25.00,19.00,18.00,19.00,14.00,17.00,16.00,16.00,16.00,14.00,21.00,41.00,44.00,48.00,36.00,19.00,18.00,25.00,27.00
07/30/17,Smoke RMK 101143 (E-BAM 591),46.9269,-114.0961,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide591+30+07+17+M,25,59,2,1.0,340,23.1,35.2,12.7,21,46,1,-9999,13.8,13.9,13.6,16.68,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e591,10.00,33.00,59.00,2.00,16.00,26.00,24.00,16.00,5.00,10.00,12.00,18.00,16.00,17.00,15.00,29.00,41.00,50.00,53.00,50.00,21.00,23.00,17.00,7.00
