,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
12/05/14,Smoke RMK 104 (Smoke #15),39.8859,-105.7635,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+05+12+14+M,0,0,0,1.5,296,1.3,3.8,-0.9,76,87,52,727.2,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/05/14,Smoke RMK 105 (Smoke #17),39.9101,-105.7977,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+05+12+14+M,0,2,0,0.3,2,2.4,8.9,-0.7,75,87,43,728.2,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
12/05/14,Smoke RMK 107 (Smoke #67),35.7683,-82.0418,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+05+12+14+M,15,31,5,0.6,187,10.1,11.3,8.7,90,100,70,967.0,14.3,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,5.00,6.00,5.00,5.00,7.00,7.00,7.00,11.00,9.00,9.00,21.00,25.00,17.00,13.00,11.00,11.00,13.00,17.00,18.00,21.00,28.00,31.00,27.00,23.00
12/05/14,Smoke RMK 110 (Smoke #215),44.2609,-121.1468,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+05+12+14+M,12,21,2,0.5,278,1.3,3.2,-1.2,99,100,98,908.1,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,16.00,18.00,16.00,14.00,17.00,18.00,20.00,18.00,14.00,11.00,8.00,8.00,9.00,11.00,13.00,11.00,21.00,17.00,17.00,12.00,7.00,5.00,3.00,2.00
12/05/14,Smoke RMK 115 (Smoke #20),47.1109,-116.393,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+05+12+14+M,36,92,0,0.6,100,4.7,10.3,2.9,98,100,90,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,46.00,32.00,6.00,38.00,92.00,42.00,48.00,64.00,62.00,55.00,9.00,6.00,31.00,51.00,58.00,79.00,27.00,8.00,2.00,27.00,0.00,49.00,5.00,21.00
12/05/14,Smoke RMK 116 (Smoke #21),39.9192,-105.7846,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+05+12+14+M,2,10,0,0.5,134,3.3,8.8,1.0,73,85,44,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,2.00,4.00,3.00,6.00,10.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
12/05/14,Smoke RMK 121 (Smoke #68),35.7683,-82.0419,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+05+12+14+M,14,29,4,0.4,194,9.5,10.6,8.0,85,97,74,968.6,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,4.00,5.00,4.00,4.00,6.00,6.00,7.00,10.00,8.00,9.00,21.00,24.00,15.00,12.00,9.00,10.00,13.00,15.00,16.00,20.00,26.00,29.00,25.00,21.00
12/05/14,Smoke RMK 125 (Smoke #216),47.5501,-116.2945,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+05+12+14+M,31,62,4,0.4,102,4.1,6.9,3.2,89,91,80,937.8,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,14.00,18.00,33.00,31.00,39.00,55.00,36.00,42.00,31.00,58.00,34.00,22.00,33.00,28.00,36.00,37.00,53.00,62.00,37.00,21.00,7.00,4.00,6.00,4.00
12/05/14,Smoke RMK 126 (Smoke #217),47.5455,-116.1792,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+05+12+14+M,27,85,8,0.3,336,6.6,11.0,4.4,96,99,89,939.2,14.4,14.4,14.4,1.87,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,14.00,15.00,20.00,14.00,18.00,18.00,13.00,18.00,20.00,50.00,85.00,25.00,21.00,35.00,29.00,45.00,33.00,43.00,39.00,27.00,26.00,8.00,8.00,13.00
