,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
09/14/23,Smoke RMK 100 (Smoke #659),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids659+14+09+23+M,4,5,3,1.1,-9999,19.4,26.6,15.3,46,58,27,824.0,14.5,14.5,14.5,2.00,16:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s659,2.00,3.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,5.00,5.00,4.00,3.00,4.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/14/23,Smoke RMK 104 (Smoke #15),45.3856,-122.0947,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+14+09+23+M,6,31,1,1.3,-9999,19.9,32.6,7.2,56,86,26,981.6,14.4,14.5,14.3,1.93,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,1.00,1.00,1.00,1.00,1.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00,2.00,3.00,2.00,2.00,4.00,5.00,16.00,31.00,13.00,4.00
09/14/23,Smoke RMK 105 (Smoke #17),37.2272,-107.6009,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+14+09+23+M,0,0,0,0.5,-9999,13.6,23.8,7.3,71,88,38,794.9,14.5,14.6,14.5,0.00,21:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999
09/14/23,Smoke RMK 106 (Smoke #66),39.7143,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm66+14+09+23+M,4,5,4,1.8,-9999,21.5,25.2,16.3,52,82,41,827.2,14.5,14.5,14.4,1.97,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.00,5.00,-9999,4.00,4.00,5.00,5.00,4.00,4.00
09/14/23,Smoke RMK 107 (Smoke #67),44.1788,-122.1188,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+14+09+23+M,19,61,2,0.8,100,21.7,36.6,12.4,65,93,17,964.4,14.5,14.5,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,13.00,4.00,2.00,2.00,6.00,25.00,19.00,8.00,11.00,13.00,17.00,18.00,18.00,20.00,17.00,14.00,13.00,18.00,22.00,26.00,19.00,11.00,37.00,61.00
09/14/23,Smoke RMK 111 (Smoke #455),38.7173,-108.0539,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids455+14+09+23+M,2,10,1,1.0,177,18.7,27.8,9.7,51,82,28,843.8,14.5,14.5,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s455,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00
09/14/23,Smoke RMK 122 (Smoke #69),40.7514,-105.4347,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+14+09+23+M,1,2,0,0.9,219,18.4,27.7,14.5,76,99,33,778.0,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
09/14/23,Smoke RMK 123 (Smoke #209),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids209+14+09+23+M,2,3,1,1.1,-9999,17.4,28.4,11.9,44,59,21,824.9,14.4,14.4,14.2,1.99,18:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s209,-9999,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,-9999,2.00,3.00,-9999,-9999,-9999,-9999,-9999
09/14/23,Smoke RMK 408 (EBAM #418),37.4716,-108.5163,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide418+14+09+23+M,2,10,-5,1.3,84,14.9,22.3,8.5,59,72,35,-9999,14.3,14.4,14.3,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e418,1.00,5.00,2.00,-5.00,5.00,-5.00,10.00,0.00,4.00,1.00,6.00,-5.00,9.00,-2.00,9.00,6.00,-3.00,1.00,5.00,-2.00,6.00,2.00,6.00,1.00
09/14/23,Smoke RMK 400 (EBAM #487),38.5135,-106.0601,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide487+14+09+23+M,3,10,-6,0.7,166,13.7,22.0,6.9,65,84,36,-9999,11.6,11.7,11.5,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e487,1.00,8.00,4.00,6.00,8.00,3.00,-5.00,3.00,3.00,0.00,-6.00,0.00,5.00,-4.00,4.00,-1.00,4.00,1.00,10.00,3.00,6.00,6.00,2.00,10.00
09/14/23,Smoke RMK 401 (EBAM #488),38.5403,-105.9978,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide488+14+09+23+M,1,14,-6,0.7,70,12.8,23.4,5.4,65,91,26,-9999,11.8,11.8,11.7,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e488,2.00,2.00,14.00,11.00,3.00,1.00,2.00,4.00,2.00,-6.00,-1.00,-1.00,-5.00,0.00,1.00,1.00,-1.00,2.00,-2.00,-3.00,3.00,-5.00,3.00,2.00
09/14/23,Smoke RMK 402 (EBAM #493),40.6232,-111.2282,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide493+14+09+23+M,0,0,0,1.9,29,22.3,-9999,-9999,33,-9999,-9999,-9999,11.7,11.7,11.7,12.50,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e493,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
