,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
04/17/18,Smoke RMK 105 (Smoke #17),42.5536,-121.9205,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+17+04+18+M,5,40,0,1.4,273,0.9,9.8,-3.3,66,82,42,871.3,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,8.00,0.00,3.00,9.00,0.00,1.00,1.00,1.00,2.00,0.00,7.00,40.00,12.00,8.00,2.00,17.00,9.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00
04/17/18,Smoke RMK 107 (Smoke #67),39.4333,-105.1267,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+17+04+18+M,2,5,1,2.7,225,17.0,21.8,12.1,20,30,9,802.6,14.1,14.2,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,5.00,4.00,4.00,4.00,4.00,3.00,1.00,2.00
04/17/18,Smoke RMK 115 (Smoke #20),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+17+04+18+M,3,13,0,3.6,276,17.9,23.5,12.0,19,31,5,813.7,14.2,14.3,14.0,1.99,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,2.00,2.00,2.00,2.00,2.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,9.00,3.00,1.00,0.00,1.00,7.00,8.00,13.00,1.00,4.00
04/17/18,Smoke RMK 121 (Smoke #68),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+17+04+18+M,3,5,2,2.7,-9999,16.2,22.3,12.5,16,32,2,813.0,14.3,14.4,14.2,2.00,20:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,5.00,4.00,4.00,4.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,3.00,3.00,-9999,-9999,-9999
04/17/18,Smoke RMK 122 (Smoke #69),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+17+04+18+M,4,5,1,2.6,290,15.8,22.3,8.4,18,31,3,813.6,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,5.00,4.00,5.00,4.00,2.00,4.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,2.00,1.00
04/17/18,Smoke RMK 125 (Smoke #216),42.6417,-121.8832,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+17+04+18+M,0,0,0,0.7,213,2.9,11.6,-1.8,70,91,37,871.5,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/17/18,Smoke USFS R2-65,39.389,-105.2734,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids265+17+04+18+M,4,7,0,2.2,219,14.5,23.0,7.7,21,36,7,785.4,14.3,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s265,0.00,0.00,1.00,1.00,3.00,2.00,3.00,5.00,6.00,3.00,3.00,3.00,6.00,4.00,5.00,4.00,6.00,7.00,6.00,5.00,5.00,4.00,3.00,1.00
04/17/18,Smoke USFS R3-86,35.6871,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+17+04+18+M,6,24,-5,0.3,1,21.7,32.0,11.4,0,1,0,-9999,14.4,14.4,14.3,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,30.00,24.00,9.00,7.00,10.00,19.00,13.00,-5.00,8.00,-5.00,9.00,6.00,-5.00,19.00,-5.00,-5.00,1.00,-5.00,13.00,10.00,-5.00,11.00,13.00,6.00
