,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
06/13/19,Smoke RMK 104 (Smoke #15),30.202,-82.4409,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+13+06+19+M,4,5,1,1.0,-9999,31.9,33.2,30.9,68,77,62,1004.0,13.8,13.9,13.7,1.84,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00,4.00,4.00,3.00,4.00,5.00
06/13/19,Smoke RMK 105 (Smoke #17),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+13+06+19+M,0,1,0,1.2,179,19.7,30.7,10.8,37,58,17,825.4,14.1,14.2,13.9,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
06/13/19,Smoke RMK 107 (Smoke #67),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+13+06+19+M,0,0,0,1.3,38,21.0,32.0,12.2,45,65,23,823.5,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/13/19,Smoke RMK 115 (Smoke #20),37.7093,-108.7405,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm20+13+06+19+M,1,3,0,1.4,329,21.4,30.6,11.5,28,43,13,777.2,14.1,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm20,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/13/19,Smoke RMK 116 (Smoke #21),34.9012,-110.1546,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+13+06+19+M,9,20,2,1.4,183,27.4,37.8,14.8,17,34,6,-9999,14.1,14.3,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,1.00,5.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,6.00,6.00,6.00,6.00,5.00,3.00,4.00,19.00,20.00,20.00,20.00,20.00,20.00
06/13/19,Smoke RMK 118 (Smoke #23),35.051,-110.6846,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm23+13+06+19+M,29,133,0,1.4,221,26.3,37.7,11.2,17,41,6,850.2,13.9,14.2,13.8,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm23,12.00,20.00,13.00,7.00,3.00,6.00,13.00,35.00,55.00,3.00,0.00,26.00,37.00,50.00,133.00,120.00,68.00,51.00,43.00,4.00,0.00,5.00,0.00,0.00
06/13/19,Smoke RMK 119 (Smoke #24),37.4829,-108.4789,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm24+13+06+19+M,9,37,0,0.9,300,20.6,32.9,9.7,34,52,16,773.2,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm24,0.00,0.00,0.00,0.00,3.00,37.00,25.00,15.00,19.00,15.00,13.00,18.00,23.00,15.00,18.00,19.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
06/13/19,Smoke RMK 126 (Smoke #217),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+13+06+19+M,1,2,0,1.1,-9999,21.7,34.8,13.4,40,60,16,824.5,14.2,14.3,14.0,2.00,21:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-9999,-9999
06/13/19,Smoke USFS R1-53,48.9712,-115.195,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids153+13+06+19+M,23,31,17,0.7,153,24.1,35.8,12.1,56,92,19,908.6,14.1,14.3,14.0,1.23,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s153,31.00,31.00,31.00,30.00,29.00,27.00,26.00,25.00,19.00,18.00,18.00,18.00,17.00,17.00,18.00,19.00,21.00,22.00,21.00,22.00,24.00,26.00,25.00,26.00
06/13/19,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+13+06+19+M,1,2,0,0.3,1,18.1,30.4,8.2,1,1,0,758.7,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,0.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/13/19,Smoke USFS R3-86,35.6871,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+13+06+19+M,333,333,333,0.4,139,22.1,31.7,14.8,1,1,0,-9999,14.4,14.4,14.4,0.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00
06/13/19,Smoke RMK 412 (EBAM #840),37.4772,-108.487,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide840+13+06+19+M,7,50,-4,0.7,-9999,13.7,28.0,1.9,38,61,11,-9999,14.3,14.4,14.3,16.70,23:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e840,-3.00,2.00,-2.00,6.00,37.00,50.00,24.00,7.00,2.00,6.00,3.00,1.00,4.00,-4.00,1.00,10.00,3.00,3.00,-1.00,3.00,-2.00,-3.00,6.00,6.00
06/13/19,Smoke RMK 414 (EBAM #882),37.5112,-108.4835,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide882+13+06+19+M,2,11,-5,0.9,120,15.0,24.3,6.6,34,61,10,-9999,14.3,14.3,14.2,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e882,3.00,4.00,4.00,-3.00,0.00,7.00,-5.00,3.00,1.00,2.00,7.00,-1.00,5.00,0.00,-5.00,2.00,11.00,-4.00,2.00,7.00,1.00,10.00,-5.00,9.00
