,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
12/03/18,Smoke #13,40.1156,-105.3859,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm13+03+12+18+M,7,11,3,0.9,-9999,2.2,5.9,-0.4,72,76,67,781.6,14.4,14.4,14.4,1.77,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.00,7.00,11.00
12/03/18,Smoke RMK 108 (Smoke #456),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids456+03+12+18+M,2,6,0,0.9,177,-1.0,1.9,-3.1,74,88,55,825.7,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s456,0.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,5.00,4.00,4.00,4.00,5.00
12/03/18,Smoke RMK 116 (Smoke #21),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm21+03+12+18+M,0,0,0,0.9,84,1.0,4.6,-1.0,70,84,53,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/03/18,Smoke RMK 125 (Smoke #216),39.5141,-105.5039,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+03+12+18+M,4,10,1,0.9,203,-8.5,-2.3,-18.7,76,85,52,726.3,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,5.00,5.00,4.00,3.00,2.00,4.00,9.00,10.00,5.00,6.00,6.00,9.00,3.00,4.00,3.00,3.00,4.00,3.00,2.00,3.00,3.00,1.00,2.00,2.00
12/03/18,Smoke RMK 131 (USFS R2-924),39.3889,-105.2735,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2924+03+12+18+M,3,8,1,0.6,146,-2.9,2.7,-9.7,70,88,42,793.8,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2924,1.00,1.00,4.00,3.00,3.00,2.00,3.00,7.00,4.00,4.00,2.00,2.00,3.00,3.00,5.00,7.00,8.00,4.00,2.00,1.00,1.00,2.00,3.00,4.00
12/03/18,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+03+12+18+M,8,42,0,0.3,1,-5.9,3.0,-15.0,0,-9999,-9999,750.9,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,1.00,1.00,2.00,3.00,4.00,9.00,6.00,2.00,3.00,4.00,4.00,7.00,14.00,29.00,28.00,32.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/03/18,Smoke USFS R3-86,35.687,-105.8955,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+03+12+18+M,6,83,-5,0.3,-9999,-3.3,5.6,-11.1,0,-9999,-9999,-9999,14.4,14.4,14.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,13.00,11.00,9.00,20.00,1.00,-5.00,-5.00,16.00,-2.00,-4.00,-5.00,4.00,-5.00,-5.00,40.00,4.00,-9999,83.00,1.00,-5.00,8.00,-5.00,-5.00,-5.00
12/03/18,Smoke RMK 407 (EBAM #231),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide231+03+12+18+M,7,31,-5,0.8,63,-5.7,-2.9,-7.4,67,81,50,-9999,13.6,13.8,13.5,16.60,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e231,-5.00,3.00,18.00,13.00,3.00,8.00,19.00,4.00,-5.00,16.00,10.00,9.00,5.00,-5.00,-5.00,-5.00,7.00,-1.00,28.00,5.00,-5.00,31.00,19.00,2.00
12/03/18,Smoke RMK 415 (EBAM #925),37.4611,-108.5157,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide925+03+12+18+M,2,12,-5,0.9,303,-13.7,-5.9,-22.0,79,92,53,-9999,14.2,14.3,14.1,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e925,1.00,2.00,6.00,-4.00,9.00,1.00,-5.00,7.00,2.00,5.00,3.00,-1.00,2.00,6.00,-1.00,2.00,2.00,-4.00,8.00,5.00,-5.00,12.00,-5.00,2.00
