,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/10/16,Smoke RMK 107 (Smoke #67),47.571,-116.4126,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm67+10+01+16+M,2,11,0,0.4,2,2.9,6.1,1.5,93,100,69,944.6,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm67,3.00,3.00,5.00,4.00,5.00,10.00,11.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/10/16,Smoke RMK 110 (Smoke #215),47.5456,-116.1792,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+10+01+16+M,11,46,1,0.3,-9999,3.4,4.9,2.3,90,99,75,941.7,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,11.00,16.00,24.00,14.00,9.00,28.00,37.00,46.00,-9999,19.00,12.00,6.00,5.00,3.00,2.00,4.00,3.00,3.00,1.00,2.00,1.00,-9999,1.00,2.00
01/10/16,Smoke RMK 113 (Smoke #16),47.5502,-116.2945,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm16+10+01+16+M,11,39,1,0.7,246,2.2,4.2,0.9,89,98,74,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm16,4.00,13.00,16.00,16.00,16.00,16.00,27.00,39.00,24.00,13.00,9.00,10.00,12.00,4.00,6.00,3.00,2.00,6.00,3.00,2.00,1.00,2.00,4.00,3.00
01/10/16,Smoke RMK 114 (Smoke #19),36.7771,-88.0631,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+10+01+16+M,0,3,0,0.6,300,-1.4,9.0,-7.1,85,97,64,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/10/16,Smoke USFS R2-69,38.9792,-105.3531,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+10+01+16+M,8,39,0,0.3,1,-12.7,2.8,-24.1,0,1,0,750.7,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,9.00,10.00,4.00,10.00,9.00,12.00,16.00,4.00,10.00,32.00,39.00,3.00,3.00,2.00,6.00,3.00,7.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00
01/10/16,Smoke USFS R8-33,36.8499,-87.9327,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids833+10+01+16+M,0,1,0,1.0,321,0.8,12.8,-4.5,84,97,64,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s833,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/10/16,Smoke USFS R8-34,36.7613,-88.1432,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids834+10+01+16+M,1,4,0,2.3,-9999,-0.6,8.4,-4.9,83,97,64,-9999,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s834,1.00,-9999,0.00,0.00,0.00,0.00,1.00,2.00,4.00,4.00,4.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
01/10/16,RSF Smoke Monitor #1,42.1941,-122.7086,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsmrs+10+01+16+M,3,17,0,2.3,151,5.1,10.3,0.8,81,100,51,951.0,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=smrs,5.00,2.00,4.00,6.00,11.00,5.00,2.00,3.00,1.00,17.00,4.00,5.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
