,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/07/14,Smoke RMK 105 (Smoke #17),39.9191,-105.7845,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm17+07+03+14+M,2,6,0,0.3,2,-0.0,5.5,-2.4,76,89,49,728.4,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm17,0.00,5.00,5.00,4.00,6.00,3.00,2.00,5.00,1.00,1.00,3.00,1.00,1.00,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/07/14,Smoke USFS R2-69,38.9672,-105.3637,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+07+03+14+M,1,2,0,0.3,1,2.2,8.0,-2.1,0,1,0,751.2,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,4.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
03/07/14,Smoke USFS R2-78,39.9495,-105.8196,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids278+07+03+14+M,5,44,0,0.3,1,1.3,6.2,-1.2,0,-9999,-9999,734.2,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s278,1.00,2.00,14.00,1.00,1.00,9.00,9.00,8.00,44.00,18.00,2.00,2.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
