,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
12/14/20,Smoke RMK 109 (Smoke #84),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids284+14+12+20+M,6,8,1,1.0,180,-1.8,6.0,-6.3,68,85,37,819.6,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s284,8.00,7.00,8.00,8.00,8.00,7.00,7.00,8.00,8.00,7.00,5.00,5.00,5.00,6.00,6.00,6.00,8.00,6.00,4.00,4.00,4.00,4.00,5.00,3.00
12/14/20,Smoke RMK 124 (Smoke #210),39.5948,-106.0067,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids210+14+12+20+M,9,28,0,0.4,178,-12.8,0.5,-19.3,73,80,50,721.5,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s210,1.00,2.00,9.00,18.00,19.00,11.00,7.00,6.00,7.00,7.00,12.00,19.00,28.00,26.00,12.00,6.00,2.00,10.00,6.00,5.00,2.00,0.00,0.00,0.00
12/14/20,Smoke RMK 126 (Smoke #217),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids217+14+12+20+M,10,15,1,0.9,187,-4.7,3.1,-9.2,67,84,34,820.1,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s217,6.00,11.00,12.00,13.00,14.00,13.00,13.00,15.00,14.00,13.00,12.00,12.00,12.00,13.00,13.00,13.00,13.00,9.00,4.00,3.00,2.00,1.00,1.00,1.00
12/14/20,Smoke USFS R3-28,35.6715,-105.9557,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids328+14+12+20+M,8,35,-1,1.5,-9999,-4.2,1.1,-7.9,0,-9999,-9999,-9999,14.1,14.1,14.0,16.67,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s328,7.00,7.00,12.00,24.00,35.00,15.00,10.00,4.00,6.00,-1.00,1.00,2.00,3.00,5.00,5.00,1.00,2.00,11.00,5.00,3.00,5.00,4.00,-9999,22.00
12/14/20,Smoke USFS R2-264,40.3613,-105.5637,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2264+14+12+20+M,0,1,0,2.2,320,0.5,4.4,-3.4,32,49,14,756.1,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=2264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
