,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
10/15/19,Smoke RMK 104 (Smoke #15),39.761,-105.68,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm15+15+10+19+M,1,3,0,1.1,288,5.9,17.8,-2.0,18,29,8,742.4,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm15,0.00,1.00,1.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/15/19,Smoke RMK 108 (Smoke #456),37.2363,-107.4461,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids456+15+10+19+M,34,110,0,1.5,231,6.8,21.2,-5.5,38,68,9,773.3,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s456,0.00,0.00,0.00,0.00,11.00,4.00,17.00,9.00,28.00,48.00,65.00,89.00,80.00,106.00,103.00,103.00,110.00,38.00,8.00,3.00,1.00,0.00,0.00,0.00
10/15/19,Smoke RMK 110 (Smoke #215),40.0771,-105.9295,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids215+15+10+19+M,1,3,0,1.5,171,5.7,15.5,-3.4,46,84,11,758.7,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s215,1.00,2.00,1.00,2.00,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,0.00,1.00
10/15/19,Smoke RMK 111 (Smoke #455),40.7768,-111.9459,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids455+15+10+19+M,7,12,2,1.4,179,13.3,24.2,4.9,29,47,10,875.5,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s455,2.00,2.00,3.00,5.00,6.00,9.00,8.00,7.00,7.00,12.00,8.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,6.00,5.00,4.00
10/15/19,Smoke RMK 112 (Smoke #11),38.822,-106.1101,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm11+15+10+19+M,1,4,0,1.5,211,10.1,23.6,-1.5,22,44,7,763.3,14.3,14.4,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm11,4.00,4.00,0.00,0.00,1.00,3.00,3.00,2.00,2.00,0.00,1.00,2.00,3.00,2.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
10/15/19,Smoke RMK 114 (Smoke #19),37.4697,-88.1586,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm19+15+10+19+M,3,7,1,0.6,351,16.6,23.7,11.3,79,94,56,-9999,14.2,14.3,14.1,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm19,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,2.00,2.00,3.00,7.00,4.00,4.00,4.00,3.00,3.00
10/15/19,Smoke RMK 121 (Smoke #68),38.5175,-106.0691,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm68+15+10+19+M,2,9,0,1.7,232,10.8,24.6,0.4,24,45,6,774.2,14.2,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm68,3.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,4.00,3.00,2.00,2.00,2.00,3.00,6.00,9.00,3.00,2.00,2.00,5.00,2.00,0.00,1.00,1.00
10/15/19,Smoke RMK 122 (Smoke #69),38.5173,-105.9769,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm69+15+10+19+M,4,11,0,1.0,269,11.2,27.9,-2.0,28,60,4,784.4,14.3,14.4,14.0,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=sm69,0.00,1.00,1.00,1.00,2.00,4.00,5.00,4.00,4.00,3.00,3.00,3.00,4.00,5.00,6.00,7.00,2.00,1.00,3.00,8.00,11.00,6.00,2.00,0.00
10/15/19,Smoke RMK 123 (Smoke #209),39.1276,-105.0754,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids209+15+10+19+M,0,2,0,0.6,36,10.2,20.7,-1.0,25,51,9,752.8,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s209,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00
