,,Position (Deg.),,,Concentration (µg/m3),,,Wind,,Air Temperature (Deg. C.),,,Humidity (Percent),,,Barometer,Battery Voltage (volts),,,Air Flow (totalizer),,,Concentration by Hour,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Latitude,Longitude,Station Chart Link,Mean,Max,Min,Ave Vel. (m/s),V. Dir. (Deg),Mean,Max,Min,Mean,Max,Min,Baro. Pressure (mbars),Mean,Max,Min,Mean,Time of latest ob,Airfire QC Report Link,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
02/02/19,Smoke #13,40.1155,-105.3859,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?idsm13+02+02+19+M,2,14,0,1.9,322,5.9,13.8,-0.9,36,60,22,778.0,14.4,14.4,14.4,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=sm13,1.00,1.00,14.00,10.00,2.00,2.00,2.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/02/19,Smoke RMK 108 (Smoke #456),39.7144,-105.1239,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids456+02+02+19+M,1,4,0,1.2,198,7.2,17.8,0.1,36,53,16,820.8,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s456,0.00,0.00,2.00,4.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
02/02/19,Smoke RMK 125 (Smoke #216),39.4065,-105.4825,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids216+02+02+19+M,1,7,0,1.3,305,-0.2,15.4,-11.2,59,87,18,755.5,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=s216,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/02/19,Smoke RMK 131 (USFS R2-924),39.389,-105.2735,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?id2924+02+02+19+M,2,15,0,0.7,185,-1.3,19.7,-16.2,65,91,15,791.5,14.4,14.4,14.2,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=2924,1.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,1.00,2.00,2.00,2.00,3.00,1.00,0.00,4.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
02/02/19,Smoke USFS R2-69,38.9793,-105.353,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids269+02+02+19+M,13,71,0,0.3,1,-2.7,13.3,-14.5,0,1,0,751.5,14.4,14.4,14.3,2.00,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s269,0.00,0.00,0.00,2.00,4.00,5.00,6.00,7.00,11.00,12.00,17.00,31.00,41.00,71.00,48.00,20.00,41.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
02/02/19,Smoke USFS R3-86,35.687,-105.8956,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ids386+02+02+19+M,3,19,-5,0.3,31,7.8,16.6,1.1,0,1,0,-9999,14.4,14.4,14.4,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v4/wrcc?unitID=s386,18.00,7.00,13.00,-5.00,10.00,-1.00,6.00,4.00,-3.00,4.00,-4.00,-3.00,-5.00,-5.00,14.00,7.00,-5.00,-5.00,-5.00,-5.00,4.00,-5.00,19.00,13.00
02/02/19,Smoke RMK 411 (EBAM #794),39.7144,-105.124,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide794+02+02+19+M,1,9,-5,1.2,176,6.0,15.9,-0.7,29,44,13,-9999,14.4,14.4,14.4,16.67,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e794,2.00,4.00,9.00,4.00,6.00,6.00,1.00,0.00,2.00,-1.00,1.00,1.00,1.00,-2.00,1.00,3.00,-5.00,-1.00,2.00,-4.00,0.00,-1.00,5.00,0.00
02/02/19,Smoke RMK 415 (EBAM #925),37.4611,-108.5157,https://wrcc.dri.edu/cgi-bin/rawMAIN4.pl?ide925+02+02+19+M,2,12,-5,2.5,5,-3.2,3.2,-7.2,55,69,45,-9999,14.3,14.3,14.2,16.70,24:00,https://tools.airfire.org/monitor-qc-report/v2/wrcc?unitID=e925,0.00,8.00,-5.00,-2.00,3.00,0.00,6.00,-2.00,4.00,-1.00,6.00,2.00,-2.00,5.00,-1.00,7.00,2.00,0.00,7.00,12.00,2.00,1.00,2.00,2.00
